D,B,A,smiles,HOMO(eV),LUMO(eV),IP(eV),EA(eV),excE(eV),exc_osc(a.u.)
4,6,2,c1cc(-c2cccs2)cc(-c2cccc3nsnc23)c1,-8.265000,-0.675000,5.965000,2.865000,4.014000,0.312000
5,7,1,Fc1csc(-c2ccc(-c3c(F)c(F)cc4nsnc34)cc2)c1,-8.252000,-0.815000,6.089000,2.884000,4.067000,0.931000
4,6,8,c1cc(-c2cccs2)cc(-c2cc3c(ccc4nsnc43)c3nsnc23)c1,-8.235000,-1.193000,6.283000,3.114000,3.659000,0.521000
4,8,9,c1csc(-c2ccc3oc(-c4nncs4)cc3c2)c1,-8.228000,-0.224000,5.906000,2.416000,4.374000,0.797000
4,7,9,c1csc(-c2ccc(-c3nncs3)cc2)c1  ,-8.214000,-0.237000,6.023000,2.329000,4.306000,1.112000
5,8,6,CN1C(=O)c2csc(-c3cc4cc(-c5cc(F)cs5)ccc4o3)c2C1=O,-8.172000,-0.528000,6.008000,2.728000,3.951000,1.065000
5,9,9,Cc1cc(-c2nncs2)sc1-c1cc(F)cs1 ,-8.170000,-0.347000,5.901000,2.546000,4.090000,0.863000
5,7,6,CN1C(=O)c2csc(-c3ccc(-c4cc(F)cs4)cc3)c2C1=O,-8.169000,-0.525000,6.053000,2.660000,4.009000,1.082000
4,7,1,Fc1cc2nsnc2c(-c2ccc(-c3cccs3)cc2)c1F,-8.164000,-0.799000,5.970000,2.881000,4.051000,0.925000
5,8,1,Fc1csc(-c2ccc3oc(-c4c(F)c(F)cc5nsnc45)cc3c2)c1,-8.161000,-0.991000,5.990000,3.061000,3.781000,1.067000
5,7,4,Fc1csc(-c2ccc(-c3c(F)c(F)cc4nccnc34)cc2)c1,-8.144000,-0.316000,6.002000,2.524000,4.300000,0.770000
5,3,9,Fc1csc(-c2ccc(-c3nncs3)[se]2)c1,-8.130000,-0.536000,5.901000,2.689000,3.904000,0.922000
4,8,1,Fc1cc2nsnc2c(-c2cc3cc(-c4cccs4)ccc3o2)c1F,-8.120000,-0.964000,5.875000,3.030000,3.818000,1.060000
5,7,2,Fc1csc(-c2ccc(-c3cccc4nsnc34)cc2)c1,-8.114000,-0.716000,6.005000,2.212000,3.900000,0.605000
4,8,6,CN1C(=O)c2csc(-c3cc4cc(-c5cccs5)ccc4o3)c2C1=O,-8.100000,-0.515000,6.066000,2.717000,3.935000,1.063000
5,9,1,Cc1cc(-c2c(F)c(F)cc3nsnc23)sc1-c1cc(F)cs1,-8.100000,-0.884000,5.806000,2.971000,3.890000,0.829000
4,9,9,Cc1cc(-c2nncs2)sc1-c1cccs1    ,-8.099000,-0.269000,5.784000,2.467000,4.085000,0.860000
5,1,9,Fc1csc(-c2ccc(-c3nncs3)s2)c1  ,-8.090000,-0.506000,5.941000,2.603000,3.919000,0.991000
4,7,4,Fc1cc2nccnc2c(-c2ccc(-c3cccs3)cc2)c1F,-8.083000,-0.296000,5.882000,2.515000,4.279000,0.690000
5,7,8,Fc1csc(-c2ccc(-c3cc4c(ccc5nsnc54)c4nsnc34)cc2)c1,-8.078000,-1.216000,6.027000,3.131000,3.569000,0.708000
5,8,3,O=C(O)c1csc(-c2cc3cc(-c4cc(F)cs4)ccc3o2)c1,-8.076000,-0.015000,5.987000,2.155000,4.341000,1.077000
5,7,3,O=C(O)c1csc(-c2ccc(-c3cc(F)cs3)cc2)c1,-8.065000,-0.064000,5.980000,2.156000,4.323000,1.180000
4,7,6,CN1C(=O)c2csc(-c3ccc(-c4cccs4)cc3)c2C1=O,-8.048000,-0.474000,5.937000,2.626000,3.964000,1.108000
4,7,2,c1csc(-c2ccc(-c3cccc4nsnc34)cc2)c1,-8.042000,-0.693000,5.888000,2.869000,3.883000,0.578000
5,8,2,Fc1csc(-c2ccc3oc(-c4cccc5nsnc45)cc3c2)c1,-8.039000,-0.909000,5.968000,3.033000,3.609000,0.656000
5,6,5,CC1(C)c2ccccc2-c2ccc(-c3cccc(-c4cc(F)cs4)c3)cc21,-8.034000,0.320000,6.075000,1.727000,3.193000,0.000000
4,3,1,Fc1cc2nsnc2c(-c2ccc(-c3cccs3)[se]2)c1F,-8.033000,-0.880000,5.710000,2.964000,3.844000,0.859000
5,8,4,Fc1csc(-c2ccc3oc(-c4c(F)c(F)cc5nccnc45)cc3c2)c1,-8.026000,-0.570000,5.948000,2.705000,3.876000,0.747000
5,3,1,Fc1csc(-c2ccc(-c3c(F)c(F)cc4nsnc34)[se]2)c1,-8.018000,-0.916000,5.805000,2.984000,3.748000,1.010000
5,1,1,Fc1csc(-c2ccc(-c3c(F)c(F)cc4nsnc34)s2)c1,-8.016000,-0.928000,5.846000,2.983000,3.744000,1.036000
5,2,9,Fc1csc(-c2ccc(-c3nncs3)o2)c1  ,-8.009000,-0.241000,5.850000,2.358000,4.062000,0.965000
4,8,2,c1csc(-c2ccc3oc(-c4cccc5nsnc45)cc3c2)c1,-8.006000,-0.904000,5.932000,3.027000,3.598000,0.650000
4,7,8,c1csc(-c2ccc(-c3cc4c(ccc5nsnc54)c4nsnc34)cc2)c1,-8.002000,-1.209000,5.912000,3.119000,3.545000,0.718000
4,1,9,c1csc(-c2ccc(-c3nncs3)s2)c1   ,-8.000000,-0.419000,5.830000,2.522000,3.907000,0.980000
4,7,3,O=C(O)c1csc(-c2ccc(-c3cccs3)cc2)c1,-7.994000,0.030000,5.869000,2.072000,4.348000,1.186000
4,8,4,Fc1cc2nccnc2c(-c2cc3cc(-c4cccs4)ccc3o2)c1F,-7.991000,-0.557000,5.833000,2.699000,3.876000,0.741000
4,8,3,O=C(O)c1csc(-c2cc3cc(-c4cccs4)ccc3o2)c1,-7.991000,0.062000,5.895000,2.079000,4.343000,1.066000
4,6,5,CC1(C)c2ccccc2-c2ccc(-c3cccc(-c4cccs4)c3)cc21,-7.990000,0.369000,5.955000,1.705000,3.205000,0.000000
5,8,8,Fc1csc(-c2ccc3oc(-c4cc5c(ccc6nsnc65)c5nsnc45)cc3c2)c1,-7.987000,-1.356000,5.975000,3.259000,3.352000,0.854000
4,1,1,Fc1cc2nsnc2c(-c2ccc(-c3cccs3)s2)c1F,-7.982000,-0.889000,5.736000,2.969000,3.782000,0.904000
4,3,9,c1csc(-c2ccc(-c3nncs3)[se]2)c1,-7.971000,-0.503000,5.788000,2.612000,3.803000,0.936000
4,9,1,Cc1cc(-c2c(F)c(F)cc3nsnc23)sc1-c1cccs1,-7.964000,-0.897000,5.630000,2.953000,3.739000,0.913000
5,9,6,Cc1cc(-c2scc3c2C(=O)N(C)C3=O)sc1-c1cc(F)cs1,-7.962000,-0.577000,5.720000,2.775000,3.724000,0.974000
5,9,3,Cc1cc(-c2cc(C(=O)O)cs2)sc1-c1cc(F)cs1,-7.957000,-0.019000,5.662000,2.295000,4.176000,0.918000
4,8,8,c1csc(-c2ccc3oc(-c4cc5c(ccc6nsnc65)c5nsnc45)cc3c2)c1,-7.952000,-1.347000,5.951000,3.254000,3.342000,0.846000
4,2,9,c1csc(-c2ccc(-c3nncs3)o2)c1   ,-7.911000,-0.152000,5.740000,2.281000,4.049000,0.955000
5,3,4,Fc1csc(-c2ccc(-c3c(F)c(F)cc4nccnc34)[se]2)c1,-7.904000,-0.472000,5.664000,2.669000,3.896000,0.763000
5,1,6,CN1C(=O)c2csc(-c3ccc(-c4cc(F)cs4)s3)c2C1=O,-7.903000,-0.692000,5.807000,2.789000,3.612000,1.085000
5,9,4,Cc1cc(-c2c(F)c(F)cc3nccnc23)sc1-c1cc(F)cs1,-7.898000,-0.450000,5.642000,2.656000,3.910000,0.684000
5,3,3,O=C(O)c1csc(-c2ccc(-c3cc(F)cs3)[se]2)c1,-7.896000,-0.244000,5.665000,2.444000,3.956000,0.990000
4,6,7,COC(=O)c1sc2c(-c3cccc(-c4cccs4)c3)scc2c1F,-7.893000,0.376000,5.838000,1.682000,4.323000,0.053000
5,6,7,COC(=O)c1sc2c(-c3cccc(-c4cc(F)cs4)c3)scc2c1F,-7.891000,0.345000,6.078000,1.707000,4.320000,0.054000
4,9,6,Cc1cc(-c2scc3c2C(=O)N(C)C3=O)sc1-c1cccs1,-7.888000,-0.521000,5.613000,2.722000,3.705000,0.958000
5,4,9,Fc1csc(-c2cc3sc(-c4nncs4)cc3s2)c1,-7.886000,-0.589000,5.807000,2.591000,3.785000,1.356000
5,1,4,Fc1csc(-c2ccc(-c3c(F)c(F)cc4nccnc34)s2)c1,-7.878000,-0.493000,5.686000,2.664000,3.869000,0.785000
5,3,6,CN1C(=O)c2csc(-c3ccc(-c4cc(F)cs4)[se]3)c2C1=O,-7.870000,-0.760000,5.769000,2.858000,3.526000,1.048000
4,1,6,CN1C(=O)c2csc(-c3ccc(-c4cccs4)s3)c2C1=O,-7.869000,-0.597000,5.706000,2.738000,3.645000,1.047000
5,7,7,COC(=O)c1sc2c(-c3ccc(-c4cc(F)cs4)cc3)scc2c1F,-7.867000,0.093000,5.929000,1.971000,4.345000,1.372000
4,4,9,c1csc(-c2cc3sc(-c4nncs4)cc3s2)c1,-7.864000,-0.486000,5.717000,2.532000,3.843000,1.343000
5,4,1,Fc1csc(-c2cc3sc(-c4c(F)c(F)cc5nsnc45)cc3s2)c1,-7.858000,-0.935000,5.731000,2.985000,3.694000,1.332000
5,9,2,Cc1cc(-c2cccc3nsnc23)sc1-c1cc(F)cs1,-7.849000,-0.860000,5.594000,2.922000,3.526000,0.642000
4,3,6,CN1C(=O)c2csc(-c3ccc(-c4cccs4)[se]3)c2C1=O,-7.849000,-0.665000,5.671000,2.802000,3.567000,1.014000
4,9,4,Cc1cc(-c2c(F)c(F)cc3nccnc23)sc1-c1cccs1,-7.848000,-0.418000,5.539000,2.637000,3.901000,0.628000
5,7,5,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4cc(F)cs4)cc3)cc21,-7.841000,0.099000,5.911000,1.969000,4.324000,1.755000
6,6,1,Fc1cc2nsnc2c(-c2cccc(-c3ccc(-c4cccs4)s3)c2)c1F,-7.831000,-0.807000,5.600000,2.879000,4.066000,1.080000
4,3,4,Fc1cc2nccnc2c(-c2ccc(-c3cccs3)[se]2)c1F,-7.831000,-0.449000,5.558000,2.330000,3.867000,0.708000
5,1,3,O=C(O)c1csc(-c2ccc(-c3cc(F)cs3)s2)c1,-7.817000,-0.190000,5.661000,2.308000,3.950000,1.052000
4,7,7,COC(=O)c1sc2c(-c3ccc(-c4cccs4)cc3)scc2c1F,-7.815000,0.194000,5.825000,1.860000,4.374000,1.520000
4,1,3,O=C(O)c1csc(-c2ccc(-c3cccs3)s2)c1,-7.813000,-0.098000,5.600000,2.259000,4.008000,1.028000
5,2,1,Fc1csc(-c2ccc(-c3c(F)c(F)cc4nsnc34)o2)c1,-7.809000,-0.947000,5.686000,2.992000,3.523000,0.905000
5,1,8,Fc1csc(-c2ccc(-c3cc4c(ccc5nsnc54)c4nsnc34)s2)c1,-7.808000,-1.335000,5.713000,3.232000,3.235000,0.828000
5,2,6,CN1C(=O)c2csc(-c3ccc(-c4cc(F)cs4)o3)c2C1=O,-7.803000,-0.491000,5.694000,2.643000,3.681000,1.062000
4,7,5,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4cccs4)cc3)cc21,-7.802000,0.170000,5.825000,1.868000,4.342000,1.776000
4,4,1,Fc1cc2nsnc2c(-c2cc3sc(-c4cccs4)cc3s2)c1F,-7.801000,-0.933000,5.627000,2.985000,3.663000,1.277000
5,9,8,Cc1cc(-c2cc3c(ccc4nsnc43)c3nsnc23)sc1-c1cc(F)cs1,-7.800000,-1.332000,5.675000,3.223000,3.226000,0.759000
6,6,4,Fc1cc2nccnc2c(-c2cccc(-c3ccc(-c4cccs4)s3)c2)c1F,-7.793000,-0.271000,5.564000,2.513000,4.179000,1.219000
6,6,2,c1cc(-c2ccc(-c3cccs3)s2)cc(-c2cccc3nsnc23)c1,-7.792000,-0.681000,5.580000,2.871000,4.026000,0.835000
5,3,2,Fc1csc(-c2ccc(-c3cccc4nsnc34)[se]2)c1,-7.790000,-0.950000,5.648000,3.014000,3.415000,0.782000
5,1,2,Fc1csc(-c2ccc(-c3cccc4nsnc34)s2)c1,-7.785000,-0.906000,5.681000,3.004000,3.461000,0.779000
5,3,8,Fc1csc(-c2ccc(-c3cc4c(ccc5nsnc54)c4nsnc34)[se]2)c1,-7.783000,-1.338000,5.683000,3.239000,3.219000,0.863000
6,6,6,CN1C(=O)c2csc(-c3cccc(-c4ccc(-c5cccs5)s4)c3)c2C1=O,-7.782000,-0.372000,5.589000,2.594000,4.032000,1.226000
4,1,4,Fc1cc2nccnc2c(-c2ccc(-c3cccs3)s2)c1F,-7.779000,-0.476000,5.587000,2.643000,3.842000,0.697000
6,6,9,c1cc(-c2ccc(-c3cccs3)s2)cc(-c2nncs2)c1,-7.776000,-0.138000,5.618000,2.230000,4.037000,1.172000
6,7,9,c1csc(-c2ccc(-c3ccc(-c4nncs4)cc3)s2)c1,-7.771000,-0.402000,5.622000,2.404000,3.864000,1.485000
6,6,7,COC(=O)c1sc2c(-c3cccc(-c4ccc(-c5cccs5)s4)c3)scc2c1F,-7.764000,0.101000,5.573000,1.700000,4.136000,1.481000
6,6,8,c1cc(-c2ccc(-c3cccs3)s2)cc(-c2cc3c(ccc4nsnc43)c3nsnc23)c1,-7.763000,-1.259000,5.230000,3.472000,4.195000,0.796000
4,9,8,Cc1cc(-c2cc3c(ccc4nsnc43)c3nsnc23)sc1-c1cccs1,-7.759000,-1.298000,5.569000,3.207000,3.232000,0.733000
6,6,3,O=C(O)c1csc(-c2cccc(-c3ccc(-c4cccs4)s3)c2)c1,-7.755000,-0.023000,5.611000,2.120000,4.045000,1.117000
5,8,7,COC(=O)c1sc2c(-c3cc4cc(-c5cc(F)cs5)ccc4o3)scc2c1F,-7.755000,0.018000,5.948000,1.948000,4.140000,1.310000
5,5,1,Fc1csc(-c2ccc(-c3ccc(-c4c(F)c(F)cc5nsnc45)s3)s2)c1,-7.753000,-0.910000,5.592000,2.965000,3.676000,1.545000
5,8,5,CC1(C)c2ccccc2-c2ccc(-c3cc4cc(-c5cc(F)cs5)ccc4o3)cc21,-7.752000,0.017000,5.949000,1.956000,4.165000,1.861000
4,9,3,Cc1cc(-c2cc(C(=O)O)cs2)sc1-c1cccs1,-7.750000,0.038000,5.480000,2.167000,4.082000,0.972000
6,9,9,Cc1cc(-c2nncs2)sc1-c1ccc(-c2cccs2)s1,-7.750000,-0.425000,5.543000,2.559000,3.770000,1.237000
5,4,3,O=C(O)c1csc(-c2cc3sc(-c4cc(F)cs4)cc3s2)c1,-7.746000,-0.302000,5.632000,2.349000,3.881000,1.406000
5,4,6,CN1C(=O)c2csc(-c3cc4sc(-c5cc(F)cs5)cc4s3)c2C1=O,-7.745000,-0.754000,5.711000,2.792000,3.516000,1.385000
5,4,4,Fc1csc(-c2cc3sc(-c4c(F)c(F)cc5nccnc45)cc3s2)c1,-7.739000,-0.533000,5.615000,2.685000,3.823000,0.886000
4,8,7,COC(=O)c1sc2c(-c3cc4cc(-c5cccs5)ccc4o3)scc2c1F,-7.736000,0.047000,5.772000,1.920000,4.179000,1.614000
4,3,2,c1csc(-c2ccc(-c3cccc4nsnc34)[se]2)c1,-7.732000,-0.875000,5.553000,2.995000,3.435000,0.731000
4,1,8,c1csc(-c2ccc(-c3cc4c(ccc5nsnc54)c4nsnc34)s2)c1,-7.730000,-1.313000,5.614000,3.213000,3.202000,0.807000
6,8,4,Fc1cc2nccnc2c(-c2cc3cc(-c4ccc(-c5cccs5)s4)ccc3o2)c1F,-7.729000,-0.560000,5.900000,2.702000,3.867000,1.298000
6,6,5,CC1(C)c2ccccc2-c2ccc(-c3cccc(-c4ccc(-c5cccs5)s4)c3)cc21,-7.727000,0.065000,5.567000,1.718000,4.076000,1.270000
6,8,9,c1csc(-c2ccc(-c3ccc4oc(-c5nncs5)cc4c3)s2)c1,-7.727000,-0.243000,5.544000,2.425000,4.070000,1.640000
4,1,2,c1csc(-c2ccc(-c3cccc4nsnc34)s2)c1,-7.725000,-0.895000,5.582000,2.985000,3.408000,0.732000
4,9,2,Cc1cc(-c2cccc3nsnc23)sc1-c1cccs1,-7.725000,-0.870000,5.488000,2.977000,3.421000,0.648000
4,8,5,CC1(C)c2ccccc2-c2ccc(-c3cc4cc(-c5cccs5)ccc4o3)cc21,-7.724000,0.036000,5.755000,1.942000,4.161000,1.859000
4,3,3,O=C(O)c1csc(-c2ccc(-c3cccs3)[se]2)c1,-7.724000,-0.193000,5.531000,2.309000,3.856000,0.992000
4,3,8,c1csc(-c2ccc(-c3cc4c(ccc5nsnc54)c4nsnc34)[se]2)c1,-7.720000,-1.321000,5.582000,3.223000,3.183000,0.834000
4,4,6,CN1C(=O)c2csc(-c3cc4sc(-c5cccs5)cc4s3)c2C1=O,-7.720000,-0.674000,5.628000,2.756000,3.551000,1.339000
4,2,1,Fc1cc2nsnc2c(-c2ccc(-c3cccs3)o2)c1F,-7.719000,-0.935000,5.578000,2.983000,3.457000,0.878000
5,5,9,Fc1csc(-c2ccc(-c3ccc(-c4nncs4)s3)s2)c1,-7.716000,-0.630000,5.651000,2.646000,3.588000,1.461000
6,8,3,O=C(O)c1csc(-c2cc3cc(-c4ccc(-c5cccs5)s4)ccc3o2)c1,-7.714000,-0.033000,5.534000,2.149000,4.084000,1.715000
4,2,6,CN1C(=O)c2csc(-c3ccc(-c4cccs4)o3)c2C1=O,-7.713000,-0.433000,5.592000,2.603000,3.651000,1.040000
6,1,1,Fc1cc2nsnc2c(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1F,-7.704000,-0.895000,5.484000,2.983000,3.708000,1.391000
6,8,8,c1csc(-c2ccc(-c3ccc4oc(-c5cc6c(ccc7nsnc76)c6nsnc56)cc4c3)s2)c1,-7.703000,-1.352000,5.524000,3.255000,3.336000,1.039000
6,7,1,Fc1cc2nsnc2c(-c2ccc(-c3ccc(-c4cccs4)s3)cc2)c1F,-7.699000,-0.823000,5.584000,2.879000,3.824000,1.796000
6,7,8,c1csc(-c2ccc(-c3ccc(-c4cc5c(ccc6nsnc65)c5nsnc45)cc3)s2)c1,-7.698000,-1.215000,5.568000,3.122000,3.507000,1.073000
5,2,3,O=C(O)c1csc(-c2ccc(-c3cc(F)cs3)o2)c1,-7.698000,-0.024000,5.578000,2.090000,4.003000,1.043000
6,7,6,CN1C(=O)c2csc(-c3ccc(-c4ccc(-c5cccs5)s4)cc3)c2C1=O,-7.696000,-0.592000,5.590000,2.648000,3.688000,1.645000
6,1,9,c1csc(-c2ccc(-c3ccc(-c4nncs4)s3)s2)c1,-7.695000,-0.540000,5.565000,2.604000,3.650000,1.438000
6,8,6,CN1C(=O)c2csc(-c3cc4cc(-c5ccc(-c6cccs6)s5)ccc4o3)c2C1=O,-7.691000,-0.526000,5.537000,2.723000,3.855000,1.697000
6,8,1,Fc1cc2nsnc2c(-c2cc3cc(-c4ccc(-c5cccs5)s4)ccc3o2)c1F,-7.690000,-0.999000,5.531000,3.057000,3.746000,1.683000
6,9,1,Cc1cc(-c2c(F)c(F)cc3nsnc23)sc1-c1ccc(-c2cccs2)s1,-7.679000,-0.897000,5.407000,2.966000,3.675000,1.415000
5,4,8,Fc1csc(-c2cc3sc(-c4cc5c(ccc6nsnc65)c5nsnc45)cc3s2)c1,-7.676000,-1.353000,5.640000,3.245000,3.191000,1.110000
5,3,7,COC(=O)c1sc2c(-c3ccc(-c4cc(F)cs4)[se]3)scc2c1F,-7.673000,-0.171000,5.572000,2.298000,3.877000,1.343000
4,5,1,Fc1cc2nsnc2c(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1F,-7.671000,-0.894000,5.500000,2.966000,3.699000,1.551000
5,3,5,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4cc(F)cs4)[se]3)cc21,-7.668000,-0.135000,5.551000,2.292000,3.908000,1.467000
5,2,2,Fc1csc(-c2ccc(-c3cccc4nsnc34)o2)c1,-7.667000,-0.861000,5.558000,2.977000,3.363000,0.643000
5,1,7,COC(=O)c1sc2c(-c3ccc(-c4cc(F)cs4)s3)scc2c1F,-7.665000,-0.105000,5.596000,1.951000,3.943000,1.404000
6,8,2,c1csc(-c2ccc(-c3ccc4oc(-c5cccc6nsnc56)cc4c3)s2)c1,-7.660000,-0.906000,5.511000,3.030000,3.594000,1.031000
6,3,1,Fc1cc2nsnc2c(-c2ccc(-c3ccc(-c4cccs4)s3)[se]2)c1F,-7.656000,-0.881000,5.489000,2.964000,3.704000,1.597000
5,4,2,Fc1csc(-c2cc3sc(-c4cccc5nsnc45)cc3s2)c1,-7.655000,-0.954000,5.606000,3.026000,3.398000,1.048000
6,9,6,Cc1cc(-c2scc3c2C(=O)N(C)C3=O)sc1-c1ccc(-c2cccs2)s1,-7.653000,-0.611000,5.481000,2.741000,3.542000,1.355000
5,5,6,CN1C(=O)c2csc(-c3ccc(-c4ccc(-c5cc(F)cs5)s4)s3)c2C1=O,-7.652000,-0.746000,5.586000,2.799000,3.431000,1.543000
6,7,2,c1csc(-c2ccc(-c3ccc(-c4cccc5nsnc45)cc3)s2)c1,-7.650000,-0.724000,5.558000,2.874000,3.767000,1.417000
5,2,8,Fc1csc(-c2ccc(-c3cc4c(ccc5nsnc54)c4nsnc34)o2)c1,-7.648000,-1.312000,5.593000,3.207000,3.124000,0.710000
5,1,5,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4cc(F)cs4)s3)cc21,-7.647000,-0.100000,5.576000,2.198000,3.938000,1.496000
4,5,9,c1csc(-c2ccc(-c3ccc(-c4nncs4)s3)s2)c1,-7.645000,-0.577000,5.561000,2.608000,3.580000,1.448000
5,2,4,Fc1csc(-c2ccc(-c3c(F)c(F)cc4nccnc34)o2)c1,-7.643000,-0.523000,5.536000,2.651000,3.617000,0.765000
5,9,7,COC(=O)c1sc2c(-c3cc(C)c(-c4cc(F)cs4)s3)scc2c1F,-7.642000,-0.011000,5.566000,2.136000,4.015000,1.303000
6,7,3,O=C(O)c1csc(-c2ccc(-c3ccc(-c4cccs4)s3)cc2)c1,-7.634000,-0.178000,5.548000,2.188000,3.896000,1.619000
1,6,9,COc1c2cc(-c3cccc(-c4nncs4)c3)sc2c(OC)c2ccsc12,-7.621000,-0.154000,5.124000,2.249000,4.069000,0.529000
6,8,5,CC1(C)c2ccccc2-c2ccc(-c3cc4cc(-c5ccc(-c6cccs6)s5)ccc4o3)cc21,-7.619000,-0.001000,5.509000,1.951000,4.006000,2.420000
6,7,4,Fc1cc2nccnc2c(-c2ccc(-c3ccc(-c4cccs4)s3)cc2)c1F,-7.617000,-0.359000,5.543000,2.521000,3.865000,1.474000
6,8,7,COC(=O)c1sc2c(-c3cc4cc(-c5ccc(-c6cccs6)s5)ccc4o3)scc2c1F,-7.615000,0.019000,5.506000,1.930000,3.995000,2.504000
4,4,2,c1csc(-c2cc3sc(-c4cccc5nsnc45)cc3s2)c1,-7.612000,-0.927000,5.524000,3.010000,3.383000,0.975000
5,9,5,Cc1cc(-c2ccc3c(c2)C(C)(C)c2ccccc2-3)sc1-c1cc(F)cs1,-7.611000,-0.033000,5.505000,2.153000,3.976000,1.464000
4,4,4,Fc1cc2nccnc2c(-c2cc3sc(-c4cccs4)cc3s2)c1F,-7.609000,-0.534000,5.525000,2.672000,3.689000,0.852000
1,7,9,COc1c2cc(-c3ccc(-c4nncs4)cc3)sc2c(OC)c2ccsc12,-7.607000,-0.465000,5.133000,2.468000,3.911000,1.103000
1,6,6,COc1c2cc(-c3cccc(-c4scc5c4C(=O)N(C)C5=O)c3)sc2c(OC)c2ccsc12,-7.607000,-0.326000,5.117000,2.588000,4.054000,0.533000
6,7,5,CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)s4)cc3)cc21,-7.606000,-0.063000,5.528000,2.111000,3.958000,2.024000
1,6,3,COc1c2cc(-c3cccc(-c4cc(C(=O)O)cs4)c3)sc2c(OC)c2ccsc12,-7.605000,-0.026000,5.125000,2.113000,4.099000,0.584000
1,6,7,COC(=O)c1sc2c(-c3cccc(-c4cc5c(OC)c6sccc6c(OC)c5s4)c3)scc2c1F,-7.604000,0.054000,5.125000,1.734000,4.110000,0.466000
6,3,9,c1csc(-c2ccc(-c3ccc(-c4nncs4)[se]3)s2)c1,-7.602000,-0.677000,5.539000,2.696000,3.463000,1.407000
1,1,9,COc1c2cc(-c3ccc(-c4nncs4)s3)sc2c(OC)c2ccsc12,-7.601000,-0.599000,5.150000,2.656000,3.721000,1.270000
5,5,4,Fc1csc(-c2ccc(-c3ccc(-c4c(F)c(F)cc5nccnc45)s3)s2)c1,-7.599000,-0.551000,5.494000,2.662000,3.626000,1.385000
1,6,8,COc1c2cc(-c3cccc(-c4cc5c(ccc6nsnc65)c5nsnc45)c3)sc2c(OC)c2ccsc12,-7.598000,-1.202000,5.120000,3.124000,3.662000,0.620000
1,6,1,COc1c2cc(-c3cccc(-c4c(F)c(F)cc5nsnc45)c3)sc2c(OC)c2ccsc12,-7.593000,-0.795000,5.130000,2.880000,4.026000,0.818000
5,5,3,O=C(O)c1csc(-c2ccc(-c3ccc(-c4cc(F)cs4)s3)s2)c1,-7.593000,-0.343000,5.493000,2.410000,3.689000,1.527000
6,9,4,Cc1cc(-c2c(F)c(F)cc3nccnc23)sc1-c1ccc(-c2cccs2)s1,-7.593000,-0.464000,5.390000,2.646000,3.731000,0.806000
1,3,9,COc1c2cc(-c3ccc(-c4nncs4)[se]3)sc2c(OC)c2ccsc12,-7.593000,-0.726000,5.164000,2.766000,3.604000,1.282000
