, sample_no, plate_id, Eta.V_ave, Sn.PM.Loading, Fe.PM.Loading, Co.PM.Loading, Ta.PM.Loading, Mn.PM.Loading, Cu.PM.Loading
32, 34, 3860, 0.439562, 0, 0.2, 0.2, 0, 0.6, 0
33, 35, 3860, 0.523924, 0.2, 0, 0, 0, 0.8, 0
34, 36, 3860, 0.433844, 0.2, 0.4, 0.2, 0.2, 0, 0
35, 37, 3860, 0.56164, 0, 0, 0, 0.2, 0.6, 0.2
36, 38, 3860, 0.524082, 0.4, 0.2, 0, 0, 0.2, 0.2
37, 39, 3860, 0.423919, 0.2, 0.4, 0.2, 0, 0.2, 0
38, 40, 3860, 0.597116, 0.8, 0, 0, 0, 0.2, 0
39, 41, 3860, 0.467212, 0, 0, 0.2, 0, 0, 0.8
40, 42, 3860, 0.482241, 0, 0.2, 0.2, 0.2, 0, 0.4
41, 43, 3860, 0.449155, 0, 0.2, 0, 0, 0.6, 0.2
42, 44, 3860, 0.461863, 0, 0.2, 0, 0, 0.8, 0
43, 45, 3860, 0.45345, 0, 0.2, 0.6, 0.2, 0, 0
44, 46, 3860, 0.50817, 0, 0, 0.1, 0.4, 0.5, 0
45, 47, 3860, 0.621884, 0.3, 0.1, 0, 0, 0, 0.6
46, 48, 3860, 0.490856, 0.1, 0.1, 0, 0, 0.4, 0.4
47, 49, 3860, 0.419563, 0.4, 0.1, 0.5, 0, 0, 0
48, 50, 3860, 0.467903, 0, 0, 0.3, 0.1, 0.5, 0.1
49, 51, 3860, 0.573617, 0.1, 0, 0, 0.2, 0.7, 0
50, 52, 3860, 0.502003, 0.2, 0.4, 0, 0, 0.3, 0.1
51, 53, 3860, 0.412212, 0, 0.1, 0.2, 0, 0.6, 0.1
52, 54, 3860, 0.4197, 0.3, 0.3, 0.3, 0.1, 0, 0
53, 55, 3860, 0.518246, 0, 0.4, 0.1, 0.4, 0.1, 0
54, 56, 3860, 0.461416, 0.2, 0.2, 0.1, 0.5, 0, 0
55, 57, 3860, 0.447526, 0.4, 0.4, 0.1, 0.1, 0, 0
56, 58, 3860, 0.561983, 0, 0.3, 0, 0.7, 0, 0
57, 59, 3860, 0.512572, 0.2, 0, 0.1, 0.6, 0, 0.1
58, 60, 3860, 0.405606, 0.3, 0.3, 0.4, 0, 0, 0
59, 61, 3860, 0.510511, 0, 0.2, 0, 0.1, 0.4, 0.3
60, 62, 3860, 0.407761, 0.1, 0.4, 0.3, 0, 0.2, 0
61, 63, 3860, 0.62662, 0.5, 0, 0, 0.1, 0.4, 0
62, 64, 3860, 0.532514, 0.1, 0, 0.1, 0.4, 0.4, 0
63, 66, 3860, 0.40497, 0.1, 0.3, 0.5, 0.1, 0, 0
64, 67, 3860, 0.473069, 0.6, 0.1, 0.1, 0, 0.2, 0
65, 68, 3860, 0.511771, 0, 0.3, 0, 0.1, 0.6, 0
66, 69, 3860, 0.544451, 0.4, 0.1, 0, 0.1, 0.4, 0
67, 70, 3860, 0.5167, 0.6, 0, 0.1, 0, 0.3, 0
68, 71, 3860, 0.493496, 0.3, 0.5, 0, 0.1, 0.1, 0
69, 72, 3860, 0.413065, 0.4, 0.2, 0.4, 0, 0, 0
70, 73, 3860, 0.430272, 0.5, 0.1, 0.3, 0, 0.1, 0
71, 74, 3860, 0.429719, 0.1, 0.1, 0.3, 0, 0, 0.5
72, 75, 3860, 0.486222, 0, 0.2, 0.1, 0.1, 0.6, 0
73, 76, 3860, 0.442471, 0.1, 0.2, 0.7, 0, 0, 0
74, 77, 3860, 0.524575, 0.5, 0.2, 0, 0, 0.2, 0.1
75, 78, 3860, 0.484872, 0.1, 0, 0.1, 0.2, 0, 0.6
76, 79, 3860, 0.499903, 0.2, 0.1, 0, 0, 0.6, 0.1
77, 80, 3860, 0.450337, 0, 0.7, 0.1, 0.1, 0.1, 0
78, 81, 3860, 0.446803, 0, 0, 0.4, 0.3, 0.2, 0.1
79, 82, 3860, 0.44788, 0.1, 0.1, 0.2, 0.6, 0, 0
80, 83, 3860, 0.427238, 0.3, 0.1, 0.4, 0.2, 0, 0
81, 84, 3860, 0.499728, 0.8, 0, 0.2, 0, 0, 0
82, 85, 3860, 0.510671, 0.2, 0.4, 0, 0.2, 0, 0.2
83, 86, 3860, 0.417534, 0.4, 0.2, 0.2, 0, 0, 0.2
84, 87, 3860, 0.581184, 0, 0, 0, 0.8, 0.2, 0
85, 88, 3860, 0.605418, 0.4, 0, 0, 0.2, 0.2, 0.2
86, 89, 3860, 0.55416, 0.2, 0.2, 0, 0.4, 0, 0.2
87, 90, 3860, 0.47488, 0, 0.2, 0.2, 0.4, 0, 0.2
88, 91, 3860, 0.609712, 0.2, 0, 0, 0.4, 0.2, 0.2
89, 92, 3860, 0.585264, 0.6, 0.2, 0, 0.2, 0, 0
90, 93, 3860, 0.525981, 0.6, 0.2, 0, 0, 0.2, 0
91, 94, 3860, 0.467082, 0, 0, 0.2, 0.2, 0.4, 0.2
92, 95, 3860, 0.525314, 0, 0, 0.2, 0, 0.2, 0.6
93, 96, 3860, 0.590015, 0, 0.2, 0, 0.6, 0, 0.2
94, 97, 3860, 0.516776, 0.2, 0.2, 0, 0, 0.6, 0
95, 98, 3860, 0.579804, 0, 0.2, 0, 0.6, 0.2, 0
96, 99, 3860, 0.503322, 0.2, 0.6, 0, 0, 0.2, 0
97, 100, 3860, 0.660538, 0.8, 0, 0, 0, 0, 0.2
98, 101, 3860, 0.482277, 0.4, 0, 0.2, 0.2, 0.2, 0
99, 102, 3860, 0.453985, 0.2, 0, 0.6, 0.2, 0, 0
100, 103, 3860, 0.451446, 0.4, 0, 0.2, 0, 0.2, 0.2
101, 104, 3860, 0.515163, 0, 0, 0, 0.2, 0.8, 0
102, 105, 3860, 0.412027, 0, 0, 0, 0, 0.8, 0.2
103, 106, 3860, 0.439973, 0, 0.2, 0.4, 0, 0.2, 0.2
104, 107, 3860, 0.406576, 0.2, 0.2, 0.2, 0, 0, 0.4
105, 108, 3860, 0.463022, 0.2, 0, 0.4, 0.2, 0.2, 0
106, 109, 3860, 0.492074, 0.4, 0, 0.2, 0.2, 0, 0.2
107, 110, 3860, 0.536366, 0.1, 0.4, 0, 0.5, 0, 0
108, 111, 3860, 0.492996, 0.2, 0.7, 0, 0, 0, 0.1
109, 112, 3860, 0.504499, 0, 0.4, 0.1, 0.5, 0, 0
110, 113, 3860, 0.489638, 0, 0, 0.1, 0.1, 0.4, 0.4
111, 114, 3860, 0.450805, 0, 0.3, 0.4, 0.1, 0.2, 0
112, 115, 3860, 0.505489, 0.4, 0, 0.1, 0.2, 0.3, 0
113, 116, 3860, 0.436665, 0.3, 0, 0.2, 0, 0.2, 0.3
114, 117, 3860, 0.461172, 0, 0, 0.5, 0.1, 0, 0.4
115, 118, 3860, 0.530519, 0.6, 0.3, 0, 0.1, 0, 0
116, 119, 3860, 0.506253, 0.4, 0, 0, 0, 0.6, 0
117, 120, 3860, 0.432899, 0, 0.3, 0.1, 0, 0.2, 0.4
118, 121, 3860, 0.546377, 0, 0.1, 0, 0.2, 0, 0.7
119, 122, 3860, 0.600295, 0, 0.1, 0, 0.7, 0.1, 0.1
120, 123, 3860, 0.549817, 0.5, 0.1, 0, 0, 0.3, 0.1
121, 124, 3860, 0.460327, 0, 0.2, 0, 0, 0.5, 0.3
122, 125, 3860, 0.573454, 0.5, 0.2, 0, 0, 0, 0.3
123, 126, 3860, 0.43423, 0.4, 0.1, 0.3, 0.2, 0, 0
124, 127, 3860, 0.500818, 0.1, 0.2, 0, 0, 0.5, 0.2
125, 128, 3860, 0.638569, 0.5, 0.1, 0, 0.3, 0, 0.1
126, 130, 3860, 0.454842, 0.4, 0, 0.6, 0, 0, 0
127, 131, 3860, 0.458586, 0.1, 0, 0.3, 0.2, 0.4, 0
128, 132, 3860, 0.601198, 0.2, 0, 0, 0.5, 0.3, 0
129, 133, 3860, 0.557189, 0.3, 0.1, 0, 0.4, 0, 0.2
130, 134, 3860, 0.436603, 0.6, 0.1, 0.2, 0, 0, 0.1
131, 135, 3860, 0.420138, 0.4, 0.1, 0.3, 0, 0, 0.2
132, 136, 3860, 0.602764, 0.5, 0, 0, 0.1, 0.3, 0.1
133, 137, 3860, 0.579147, 0.3, 0.1, 0, 0.2, 0, 0.4
134, 138, 3860, 0.472487, 0.1, 0, 0.2, 0.3, 0, 0.4
135, 139, 3860, 0.465011, 0.1, 0.5, 0, 0, 0.1, 0.3
136, 140, 3860, 0.469375, 0, 0.1, 0.2, 0.2, 0.5, 0
137, 141, 3860, 0.453496, 0.2, 0, 0.1, 0, 0.2, 0.5
138, 142, 3860, 0.481763, 0.1, 0, 0.3, 0.1, 0, 0.5
139, 143, 3860, 0.443619, 0.5, 0, 0.4, 0.1, 0, 0
140, 144, 3860, 0.466803, 0, 0.6, 0, 0.1, 0, 0.3
141, 145, 3860, 0.444348, 0, 0.4, 0.1, 0, 0, 0.5
142, 146, 3860, 0.463308, 0, 0.5, 0, 0, 0.4, 0.1
143, 147, 3860, 0.585748, 0.2, 0, 0, 0.4, 0.4, 0
144, 148, 3860, 0.503284, 0, 0, 0, 0, 0.2, 0.8
145, 149, 3860, 0.436154, 0, 0, 0.8, 0, 0, 0.2
146, 150, 3860, 0.464319, 0.2, 0, 0.8, 0, 0, 0
147, 151, 3860, 0.434697, 0.2, 0, 0.4, 0, 0.2, 0.2
148, 152, 3860, 0.45819, 0, 0.6, 0.2, 0.2, 0, 0
149, 153, 3860, 0.593531, 0.8, 0, 0, 0.2, 0, 0
150, 154, 3860, 0.452543, 0, 0.4, 0.2, 0.2, 0.2, 0
151, 155, 3860, 0.60876, 0.2, 0, 0, 0.8, 0, 0
152, 156, 3860, 0.4641, 0, 0.4, 0.2, 0.2, 0, 0.2
153, 157, 3860, 0.527187, 0, 0.2, 0, 0.2, 0.6, 0
154, 158, 3860, 0.578813, 0, 0, 0, 0.2, 0.2, 0.6
155, 159, 3860, 0.508826, 0.2, 0.2, 0, 0, 0.4, 0.2
156, 160, 3860, 0.444856, 0.2, 0.2, 0.2, 0.4, 0, 0
157, 161, 3860, 0.479791, 0, 0.2, 0.2, 0.4, 0.2, 0
158, 162, 3860, 0.548019, 0.8, 0.2, 0, 0, 0, 0
159, 163, 3860, 0.439316, 0.2, 0, 0.2, 0, 0, 0.6
160, 164, 3860, 0.441523, 0, 0.2, 0.8, 0, 0, 0
161, 165, 3860, 0.413029, 0.2, 0.4, 0.2, 0, 0, 0.2
162, 166, 3860, 0.514563, 0.2, 0.4, 0, 0, 0.2, 0.2
163, 167, 3860, 0.682155, 0.6, 0, 0, 0.2, 0, 0.2
164, 168, 3860, 0.624072, 0.2, 0, 0, 0.6, 0, 0.2
165, 169, 3860, 0.490955, 0, 0, 0.2, 0.6, 0, 0.2
166, 170, 3860, 0.550478, 0.4, 0.2, 0, 0.2, 0.2, 0
167, 171, 3860, 0.527626, 0.2, 0.2, 0, 0.4, 0.2, 0
168, 172, 3860, 0.450502, 0.2, 0.2, 0.2, 0, 0.4, 0
169, 173, 3860, 0.50747, 0, 0, 0, 0, 1, 0
170, 174, 3860, 0.525687, 0.5, 0.3, 0, 0, 0.1, 0.1
171, 175, 3860, 0.435845, 0.3, 0.2, 0.2, 0.3, 0, 0
172, 176, 3860, 0.557053, 0, 0, 0, 0.1, 0.4, 0.5
173, 177, 3860, 0.641367, 0.6, 0, 0, 0.3, 0.1, 0
174, 178, 3860, 0.558622, 0, 0.1, 0, 0.2, 0.7, 0
175, 179, 3860, 0.549459, 0, 0, 0, 0.1, 0.2, 0.7
176, 180, 3860, 0.538312, 0.1, 0.4, 0, 0.2, 0.3, 0
177, 181, 3860, 0.518974, 0.4, 0.4, 0, 0, 0, 0.2
178, 182, 3860, 0.481706, 0, 0.2, 0.1, 0.2, 0.5, 0
179, 183, 3860, 0.429047, 0.3, 0.4, 0.2, 0.1, 0, 0
180, 184, 3860, 0.562829, 0, 0, 0, 0.5, 0.4, 0.1
181, 185, 3860, 0.41376, 0.4, 0.4, 0.2, 0, 0, 0
182, 186, 3860, 0.64283, 0.4, 0, 0, 0.1, 0, 0.5
183, 187, 3860, 0.469928, 0.2, 0, 0.3, 0.2, 0, 0.3
184, 188, 3860, 0.480923, 0.1, 0, 0.1, 0, 0.3, 0.5
185, 189, 3860, 0.589261, 0, 0.1, 0, 0.5, 0.3, 0.1
186, 190, 3860, 0.468639, 0.1, 0, 0.5, 0.1, 0, 0.3
187, 191, 3860, 0.43928, 0.2, 0, 0.2, 0, 0.3, 0.3
188, 192, 3860, 0.660622, 0.5, 0.1, 0, 0.1, 0, 0.3
189, 194, 3860, 0.573192, 0.6, 0, 0, 0, 0.1, 0.3
190, 195, 3860, 0.47779, 0, 0, 0.3, 0.7, 0, 0
191, 196, 3860, 0.487893, 0.1, 0, 0.4, 0, 0.5, 0
192, 197, 3860, 0.51068, 0, 0, 0.2, 0.1, 0.1, 0.6
193, 198, 3860, 0.537888, 0.2, 0, 0, 0.1, 0.5, 0.2
194, 199, 3860, 0.439128, 0.1, 0.1, 0.5, 0.3, 0, 0
195, 200, 3860, 0.473419, 0.1, 0, 0.1, 0.6, 0.2, 0
196, 201, 3860, 0.444727, 0, 0.1, 0.4, 0, 0.1, 0.4
197, 202, 3860, 0.452872, 0.1, 0.1, 0.6, 0, 0.2, 0
198, 203, 3860, 0.453617, 0.3, 0, 0.4, 0.2, 0.1, 0
199, 204, 3860, 0.512279, 0.1, 0.3, 0, 0.2, 0, 0.4
200, 205, 3860, 0.507231, 0, 0, 0, 0.1, 0, 0.9
201, 206, 3860, 0.441789, 0.1, 0.1, 0.6, 0.2, 0, 0
202, 207, 3860, 0.499989, 0, 0.3, 0, 0.1, 0.3, 0.3
203, 208, 3860, 0.441367, 0, 0.4, 0.2, 0, 0.1, 0.3
204, 209, 3860, 0.485743, 0, 0.3, 0.2, 0.5, 0, 0
205, 210, 3860, 0.463172, 0.2, 0, 0.3, 0.4, 0, 0.1
206, 211, 3860, 0.555248, 0, 0.2, 0, 0.4, 0.3, 0.1
207, 212, 3860, 0.44257, 0, 0, 1, 0, 0, 0
208, 213, 3860, 0.498205, 0.6, 0, 0.2, 0, 0.2, 0
209, 214, 3860, 0.575786, 0, 0, 0, 1, 0, 0
210, 215, 3860, 0.418393, 0.2, 0.2, 0.4, 0, 0, 0.2
211, 216, 3860, 0.425073, 0, 0, 0.2, 0, 0.6, 0.2
212, 217, 3860, 0.457211, 0.6, 0, 0.2, 0, 0, 0.2
213, 218, 3860, 0.450082, 0, 0.8, 0, 0, 0, 0.2
214, 219, 3860, 0.522026, 0.2, 0.4, 0, 0.2, 0.2, 0
215, 220, 3860, 0.494279, 0, 0.6, 0, 0.2, 0, 0.2
216, 221, 3860, 0.452148, 0, 0.8, 0.2, 0, 0, 0
217, 222, 3860, 0.486109, 0, 0, 0.2, 0.4, 0.2, 0.2
218, 223, 3860, 0.579662, 0.2, 0, 0, 0.2, 0.6, 0
219, 224, 3860, 0.565944, 0.2, 0, 0, 0, 0.2, 0.6
220, 225, 3860, 0.455986, 0, 0.2, 0.2, 0, 0.2, 0.4
221, 226, 3860, 0.52002, 0.2, 0.2, 0, 0, 0.2, 0.4
222, 227, 3860, 0.473387, 0, 0, 0.2, 0.2, 0.6, 0
223, 228, 3860, 0.546824, 0.6, 0.2, 0, 0, 0, 0.2
224, 229, 3860, 0.435105, 0.2, 0, 0.6, 0, 0, 0.2
225, 230, 3860, 0.463419, 0, 0.6, 0, 0, 0.2, 0.2
226, 231, 3860, 0.450118, 0, 0, 0.6, 0, 0.2, 0.2
227, 232, 3860, 0.649098, 0, 0.4, 0.2, 0, 0.2, 0.2
228, 233, 3860, 0.496163, 0, 0.2, 0.2, 0.6, 0, 0
229, 234, 3860, 0.522895, 0.2, 0.2, 0, 0.2, 0.4, 0
230, 235, 3860, 0.471307, 0, 0.2, 0, 0, 0.2, 0.6
231, 236, 3860, 0.509591, 0.2, 0, 0.2, 0, 0.6, 0
232, 237, 3860, 0.555354, 0, 0, 0, 0, 0, 1
233, 238, 3860, 0.518743, 0, 0, 0.1, 0.7, 0.1, 0.1
234, 239, 3860, 0.471688, 0.1, 0, 0.9, 0, 0, 0
235, 240, 3860, 0.459584, 0.2, 0.3, 0.1, 0, 0.4, 0
236, 241, 3860, 0.518484, 0, 0.2, 0, 0.1, 0.3, 0.4
237, 242, 3860, 0.421784, 0, 0.6, 0.1, 0, 0.1, 0.2
238, 243, 3860, 0.581264, 0.7, 0.1, 0, 0, 0.2, 0
239, 244, 3860, 0.524369, 0.3, 0.3, 0, 0.2, 0.2, 0
240, 245, 3860, 0.477575, 0.5, 0, 0.2, 0, 0.3, 0
241, 246, 3860, 0.430835, 0.4, 0.1, 0.1, 0, 0, 0.4
242, 247, 3860, 0.479854, 0, 0, 0.2, 0.2, 0.1, 0.5
243, 248, 3860, 0.416239, 0.2, 0.1, 0.3, 0, 0, 0.4
244, 249, 3860, 0.468109, 0, 0, 0, 0.1, 0.6, 0.3
245, 250, 3860, 0.411225, 0.2, 0.3, 0.3, 0, 0, 0.2
246, 251, 3860, 0.561248, 0.1, 0.2, 0, 0.2, 0, 0.5
247, 252, 3860, 0.639219, 0.3, 0, 0, 0.3, 0, 0.4
248, 253, 3860, 0.457521, 0, 0, 0.5, 0.2, 0.2, 0.1
249, 254, 3860, 0.407561, 0.3, 0.2, 0.5, 0, 0, 0
250, 255, 3860, 0.451867, 0.4, 0, 0.1, 0, 0, 0.5
251, 256, 3860, 0.481189, 0, 0, 0.2, 0.1, 0.7, 0
252, 258, 3860, 0.563942, 0.8, 0.1, 0, 0, 0, 0.1
253, 259, 3860, 0.449156, 0, 0.1, 0.1, 0, 0, 0.8
254, 260, 3860, 0.567474, 0.2, 0, 0, 0.3, 0.4, 0.1
255, 261, 3860, 0.512313, 0.4, 0.4, 0, 0.2, 0, 0
256, 262, 3860, 0.490965, 0, 0.1, 0.1, 0.2, 0.6, 0
257, 263, 3860, 0.528425, 0, 0.5, 0, 0.4, 0, 0.1
258, 264, 3860, 0.567448, 0.1, 0, 0, 0.6, 0.3, 0
259, 265, 3860, 0.480887, 0.1, 0.5, 0, 0, 0.2, 0.2
260, 266, 3860, 0.525623, 0.1, 0, 0, 0.1, 0.6, 0.2
261, 267, 3860, 0.477475, 0, 0.1, 0.2, 0.6, 0, 0.1
262, 268, 3860, 0.514364, 0.1, 0.5, 0, 0.2, 0.2, 0
263, 269, 3860, 0.463401, 0.1, 0, 0.3, 0.5, 0, 0.1
264, 270, 3860, 0.46219, 0, 0.2, 0, 0, 0.1, 0.7
265, 271, 3860, 0.624229, 0.7, 0, 0, 0, 0, 0.3
266, 272, 3860, 0.526314, 0.2, 0.4, 0, 0.3, 0.1, 0
267, 273, 3860, 0.594563, 0.7, 0, 0, 0.2, 0.1, 0
268, 274, 3860, 0.41929, 0.1, 0.6, 0.2, 0, 0, 0.1
269, 275, 3860, 0.576785, 0.2, 0, 0, 0.3, 0.5, 0
270, 276, 3860, 0.487455, 0, 0, 0.2, 0.2, 0, 0.6
271, 277, 3860, 0.458976, 0, 0.2, 0.2, 0.2, 0.4, 0
272, 278, 3860, 0.448134, 0, 0, 0.2, 0, 0.8, 0
273, 279, 3860, 0.433177, 0, 0.2, 0.2, 0, 0.4, 0.2
274, 280, 3860, 0.473652, 0.2, 0, 0.2, 0.4, 0.2, 0
275, 281, 3860, 0.461565, 0.2, 0, 0.4, 0.2, 0, 0.2
276, 282, 3860, 0.582582, 0.2, 0, 0, 0.2, 0.4, 0.2
277, 283, 3860, 0.528447, 0, 0.2, 0, 0.2, 0.4, 0.2
278, 284, 3860, 0.474496, 0, 0.8, 0, 0, 0.2, 0
279, 285, 3860, 0.552957, 0.2, 0.2, 0, 0.6, 0, 0
280, 286, 3860, 0.476226, 0.2, 0, 0.2, 0.2, 0.4, 0
281, 287, 3860, 0.585015, 0, 0, 0, 0.6, 0.2, 0.2
282, 288, 3860, 0.426559, 0.6, 0.2, 0.2, 0, 0, 0
283, 289, 3860, 0.485722, 0, 0, 0.2, 0.8, 0, 0
284, 290, 3860, 0.489313, 0.2, 0.6, 0, 0, 0, 0.2
285, 291, 3860, 0.508785, 0.2, 0.2, 0, 0, 0, 0.6
286, 292, 3860, 0.568089, 0, 0, 0, 0.2, 0, 0.8
287, 293, 3860, 0.505437, 0, 0.2, 0, 0.2, 0, 0.6
288, 294, 3860, 0.490528, 0, 0, 0.2, 0.6, 0.2, 0
289, 295, 3860, 0.462635, 0, 0.2, 0, 0, 0, 0.8
290, 296, 3860, 0.476196, 0, 0, 0.6, 0.2, 0, 0.2
291, 297, 3860, 0.474517, 0, 1, 0, 0, 0, 0
292, 298, 3860, 0.499366, 0.2, 0, 0.2, 0.4, 0, 0.2
293, 299, 3860, 0.590162, 0, 0.2, 0, 0.8, 0, 0
294, 300, 3860, 0.562588, 0.2, 0, 0, 0.6, 0.2, 0
295, 301, 3860, 0.422785, 0.2, 0.2, 0.4, 0, 0.2, 0
296, 302, 3860, 0.545949, 0, 0.3, 0, 0.3, 0.2, 0.2
297, 303, 3860, 0.494855, 0.5, 0, 0.1, 0.1, 0, 0.3
298, 304, 3860, 0.424452, 0.1, 0.4, 0.4, 0, 0.1, 0
299, 305, 3860, 0.605445, 0.1, 0.1, 0, 0.5, 0, 0.3
300, 306, 3860, 0.426077, 0.2, 0, 0.3, 0, 0.2, 0.3
301, 307, 3860, 0.440669, 0, 0.1, 0.7, 0, 0.2, 0
302, 308, 3860, 0.483338, 0.3, 0, 0.1, 0.1, 0, 0.5
303, 309, 3860, 0.519144, 0.3, 0, 0.1, 0.5, 0, 0.1
304, 310, 3860, 0.444708, 0.2, 0, 0.1, 0, 0, 0.7
305, 311, 3860, 0.457705, 0.1, 0, 0.1, 0, 0.1, 0.7
306, 312, 3860, 0.424166, 0, 0.1, 0.8, 0, 0, 0.1
307, 313, 3860, 0.497612, 0, 0, 0.1, 0.3, 0.2, 0.4
308, 314, 3860, 0.451592, 0, 0, 0.3, 0.3, 0.4, 0
309, 315, 3860, 0.619938, 0, 0, 0, 0.4, 0.4, 0.2
310, 316, 3860, 0.681543, 0.8, 0, 0, 0.1, 0, 0.1
311, 317, 3860, 0.577522, 0.7, 0.2, 0, 0, 0.1, 0
312, 318, 3860, 0.548696, 0.3, 0, 0, 0, 0.6, 0.1
313, 319, 3860, 0.4299, 0, 0.1, 0.6, 0.1, 0, 0.2
314, 320, 3860, 0.489274, 0.2, 0.1, 0.2, 0.5, 0, 0
315, 322, 3860, 0.44254, 0, 0.4, 0, 0, 0.5, 0.1
316, 323, 3860, 0.40929, 0.3, 0.2, 0.4, 0, 0, 0.1
317, 324, 3860, 0.565868, 0.5, 0.2, 0, 0.3, 0, 0
318, 325, 3860, 0.491164, 0.4, 0.4, 0, 0, 0.2, 0
319, 326, 3860, 0.501028, 0, 0.4, 0, 0.3, 0, 0.3
320, 327, 3860, 0.433225, 0.5, 0, 0.3, 0, 0.1, 0.1
321, 328, 3860, 0.594962, 0.4, 0.1, 0, 0.1, 0, 0.4
322, 329, 3860, 0.582006, 0.2, 0, 0, 0.1, 0.4, 0.3
323, 330, 3860, 0.547934, 0, 0, 0, 0.2, 0.1, 0.7
324, 331, 3860, 0.508958, 0.1, 0, 0, 0.1, 0.7, 0.1
325, 332, 3860, 0.417936, 0.4, 0.5, 0.1, 0, 0, 0
326, 333, 3860, 0.480565, 0, 0, 0.8, 0.1, 0.1, 0
327, 334, 3860, 0.438552, 0, 0.5, 0.2, 0.1, 0.2, 0
328, 335, 3860, 0.476037, 0, 0.1, 0.2, 0.1, 0.6, 0
329, 336, 3860, 0.486162, 0.2, 0, 0.1, 0, 0.5, 0.2
330, 337, 3860, 0.575259, 0, 0.2, 0, 0.5, 0.2, 0.1
331, 338, 3860, 0.537747, 0, 0.1, 0, 0.4, 0.5, 0
332, 339, 3860, 0.453366, 0, 0.2, 0.3, 0.4, 0.1, 0
333, 340, 3860, 0.45807, 0.2, 0, 0.2, 0, 0.4, 0.2
334, 341, 3860, 0.520884, 0, 0.4, 0, 0.2, 0.2, 0.2
335, 342, 3860, 0.472832, 0.2, 0, 0.6, 0, 0.2, 0
336, 343, 3860, 0.442667, 0, 0.2, 0.6, 0, 0.2, 0
337, 344, 3860, 0.466159, 0, 0, 0.8, 0.2, 0, 0
338, 345, 3860, 0.549116, 0.2, 0.2, 0, 0.2, 0, 0.4
339, 346, 3860, 0.451219, 0, 0.2, 0.2, 0, 0, 0.6
340, 347, 3860, 0.481956, 0.2, 0, 0.2, 0.2, 0, 0.4
341, 348, 3860, 0.417542, 0.2, 0.2, 0.6, 0, 0, 0
342, 349, 3860, 0.49962, 0, 0.8, 0, 0.2, 0, 0
343, 350, 3860, 0.521061, 0.2, 0, 0, 0, 0, 0.8
344, 351, 3860, 0.469117, 0, 0.2, 0.4, 0.2, 0, 0.2
345, 352, 3860, 0.506559, 0.2, 0.6, 0, 0.2, 0, 0
346, 353, 3860, 0.535501, 0, 0.2, 0, 0.2, 0.2, 0.4
347, 354, 3860, 0.473422, 0.6, 0, 0.2, 0.2, 0, 0
