, sample_no, plate_id, Eta.V_ave, Sn.PM.Loading, Sb.PM.Loading, Co.PM.Loading, Ca.PM.Loading, Ni.PM.Loading, Mn.PM.Loading
105, 108, 4098, 0.404822, 0.2, 0, 0.4, 0.2, 0.2, 0
106, 109, 4098, 0.457414, 0.4, 0, 0.2, 0.2, 0, 0.2
107, 110, 4098, 0.505004, 0.1, 0.4, 0, 0.5, 0, 0
108, 111, 4098, 0.588403, 0.2, 0.7, 0, 0, 0, 0.1
109, 112, 4098, 0.50326, 0, 0.4, 0.1, 0.5, 0, 0
110, 113, 4098, 0.470739, 0, 0, 0.1, 0.1, 0.4, 0.4
111, 114, 4098, 0.45491, 0, 0.3, 0.4, 0.1, 0.2, 0
112, 115, 4098, 0.438151, 0.4, 0, 0.1, 0.2, 0.3, 0
113, 116, 4098, 0.431746, 0.3, 0, 0.2, 0, 0.2, 0.3
114, 117, 4098, 0.467303, 0, 0, 0.5, 0.1, 0, 0.4
115, 118, 4098, 0.533817, 0.6, 0.3, 0, 0.1, 0, 0
116, 119, 4098, 0.472479, 0.4, 0, 0, 0, 0.6, 0
117, 120, 4098, 0.470977, 0, 0.3, 0.1, 0, 0.2, 0.4
118, 121, 4098, 0.541268, 0, 0.1, 0, 0.2, 0, 0.7
119, 122, 4098, 0.552145, 0, 0.1, 0, 0.7, 0.1, 0.1
120, 123, 4098, 0.490778, 0.5, 0.1, 0, 0, 0.3, 0.1
121, 124, 4098, 0.448887, 0, 0.2, 0, 0, 0.5, 0.3
122, 125, 4098, 0.498116, 0.5, 0.2, 0, 0, 0, 0.3
123, 126, 4098, 0.436788, 0.4, 0.1, 0.3, 0.2, 0, 0
124, 127, 4098, 0.468876, 0.1, 0.2, 0, 0, 0.5, 0.2
125, 128, 4098, 0.531017, 0.5, 0.1, 0, 0.3, 0, 0.1
126, 130, 4098, 0.432906, 0.4, 0, 0.6, 0, 0, 0
127, 131, 4098, 0.397848, 0.1, 0, 0.3, 0.2, 0.4, 0
128, 132, 4098, 0.41139, 0.2, 0, 0, 0.5, 0.3, 0
129, 133, 4098, 0.517985, 0.3, 0.1, 0, 0.4, 0, 0.2
130, 134, 4098, 0.476009, 0.6, 0.1, 0.2, 0, 0, 0.1
131, 135, 4098, 0.456199, 0.4, 0.1, 0.3, 0, 0, 0.2
132, 136, 4098, 0.483864, 0.5, 0, 0, 0.1, 0.3, 0.1
133, 137, 4098, 0.515764, 0.3, 0.1, 0, 0.2, 0, 0.4
134, 138, 4098, 0.486971, 0.1, 0, 0.2, 0.3, 0, 0.4
135, 139, 4098, 0.480199, 0.1, 0.5, 0, 0, 0.1, 0.3
136, 140, 4098, 0.429509, 0, 0.1, 0.2, 0.2, 0.5, 0
137, 141, 4098, 0.463384, 0.2, 0, 0.1, 0, 0.2, 0.5
138, 142, 4098, 0.471526, 0.1, 0, 0.3, 0.1, 0, 0.5
139, 143, 4098, 0.444192, 0.5, 0, 0.4, 0.1, 0, 0
140, 144, 4098, 0.540816, 0, 0.6, 0, 0.1, 0, 0.3
141, 145, 4098, 0.496604, 0, 0.4, 0.1, 0, 0, 0.5
142, 146, 4098, 0.479072, 0, 0.5, 0, 0, 0.4, 0.1
143, 147, 4098, 0.440171, 0.2, 0, 0, 0.4, 0.4, 0
144, 148, 4098, 0.46161, 0, 0, 0, 0, 0.2, 0.8
145, 149, 4098, 0.460906, 0, 0, 0.8, 0, 0, 0.2
146, 150, 4098, 0.445774, 0.2, 0, 0.8, 0, 0, 0
147, 151, 4098, 0.422748, 0.2, 0, 0.4, 0, 0.2, 0.2
148, 152, 4098, 0.491079, 0, 0.6, 0.2, 0.2, 0, 0
149, 153, 4098, 0.51722, 0.8, 0, 0, 0.2, 0, 0
150, 154, 4098, 0.494727, 0, 0.4, 0.2, 0.2, 0.2, 0
151, 155, 4098, 0.545829, 0.2, 0, 0, 0.8, 0, 0
152, 156, 4098, 0.498167, 0, 0.4, 0.2, 0.2, 0, 0.2
153, 157, 4098, 0.485848, 0, 0.2, 0, 0.2, 0.6, 0
154, 158, 4098, 0.479691, 0, 0, 0, 0.2, 0.2, 0.6
155, 159, 4098, 0.482055, 0.2, 0.2, 0, 0, 0.4, 0.2
156, 160, 4098, 0.497774, 0.2, 0.2, 0.2, 0.4, 0, 0
157, 161, 4098, 0.490688, 0, 0.2, 0.2, 0.4, 0.2, 0
158, 162, 4098, 0.544352, 0.8, 0.2, 0, 0, 0, 0
159, 163, 4098, 0.46889, 0.2, 0, 0.2, 0, 0, 0.6
160, 164, 4098, 0.483072, 0, 0.2, 0.8, 0, 0, 0
161, 165, 4098, 0.482052, 0.2, 0.4, 0.2, 0, 0, 0.2
162, 166, 4098, 0.540472, 0.2, 0.4, 0, 0, 0.2, 0.2
163, 167, 4098, 0.505244, 0.6, 0, 0, 0.2, 0, 0.2
164, 168, 4098, 0.496011, 0.2, 0, 0, 0.6, 0, 0.2
165, 169, 4098, 0.460456, 0, 0, 0.2, 0.6, 0, 0.2
166, 170, 4098, 0.508366, 0.4, 0.2, 0, 0.2, 0.2, 0
167, 171, 4098, 0.50921, 0.2, 0.2, 0, 0.4, 0.2, 0
168, 172, 4098, 0.429666, 0.2, 0.2, 0.2, 0, 0.4, 0
169, 173, 4098, 0.46525, 0, 0, 0, 0, 1, 0
170, 174, 4098, 0.541376, 0.5, 0.3, 0, 0, 0.1, 0.1
171, 175, 4098, 0.49256, 0.3, 0.2, 0.2, 0.3, 0, 0
172, 176, 4098, 0.50272, 0, 0, 0, 0.1, 0.4, 0.5
173, 177, 4098, 0.51155, 0.6, 0, 0, 0.3, 0.1, 0
174, 178, 4098, 0.46168, 0, 0.1, 0, 0.2, 0.7, 0
175, 179, 4098, 0.48266, 0, 0, 0, 0.1, 0.2, 0.7
176, 180, 4098, 0.549325, 0.1, 0.4, 0, 0.2, 0.3, 0
177, 181, 4098, 0.539929, 0.4, 0.4, 0, 0, 0, 0.2
178, 182, 4098, 0.466593, 0, 0.2, 0.1, 0.2, 0.5, 0
179, 183, 4098, 0.48084, 0.3, 0.4, 0.2, 0.1, 0, 0
180, 184, 4098, 0.481674, 0, 0, 0, 0.5, 0.4, 0.1
181, 185, 4098, 0.507902, 0.4, 0.4, 0.2, 0, 0, 0
182, 186, 4098, 0.509675, 0.4, 0, 0, 0.1, 0, 0.5
183, 187, 4098, 0.468586, 0.2, 0, 0.3, 0.2, 0, 0.3
184, 188, 4098, 0.429699, 0.1, 0, 0.1, 0, 0.3, 0.5
185, 189, 4098, 0.501816, 0, 0.1, 0, 0.5, 0.3, 0.1
186, 190, 4098, 0.458345, 0.1, 0, 0.5, 0.1, 0, 0.3
187, 191, 4098, 0.404168, 0.2, 0, 0.2, 0, 0.3, 0.3
188, 192, 4098, 0.584741, 0.5, 0.1, 0, 0.1, 0, 0.3
189, 194, 4098, 0.504991, 0.6, 0, 0, 0, 0.1, 0.3
190, 195, 4098, 0.431323, 0, 0, 0.3, 0.7, 0, 0
191, 196, 4098, 0.411855, 0.1, 0, 0.4, 0, 0.5, 0
192, 197, 4098, 0.459725, 0, 0, 0.2, 0.1, 0.1, 0.6
193, 198, 4098, 0.431435, 0.2, 0, 0, 0.1, 0.5, 0.2
194, 199, 4098, 0.474527, 0.1, 0.1, 0.5, 0.3, 0, 0
195, 200, 4098, 0.434651, 0.1, 0, 0.1, 0.6, 0.2, 0
196, 201, 4098, 0.461036, 0, 0.1, 0.4, 0, 0.1, 0.4
197, 202, 4098, 0.422414, 0.1, 0.1, 0.6, 0, 0.2, 0
198, 203, 4098, 0.417492, 0.3, 0, 0.4, 0.2, 0.1, 0
199, 204, 4098, 0.5164, 0.1, 0.3, 0, 0.2, 0, 0.4
200, 205, 4098, 0.455418, 0, 0, 0, 0.1, 0, 0.9
201, 206, 4098, 0.477674, 0.1, 0.1, 0.6, 0.2, 0, 0
202, 207, 4098, 0.500775, 0, 0.3, 0, 0.1, 0.3, 0.3
203, 208, 4098, 0.475977, 0, 0.4, 0.2, 0, 0.1, 0.3
204, 209, 4098, 0.489164, 0, 0.3, 0.2, 0.5, 0, 0
205, 210, 4098, 0.466242, 0.2, 0, 0.3, 0.4, 0, 0.1
206, 211, 4098, 0.487403, 0, 0.2, 0, 0.4, 0.3, 0.1
207, 212, 4098, 0.44122, 0, 0, 1, 0, 0, 0
208, 213, 4098, 0.443798, 0.6, 0, 0.2, 0, 0.2, 0
209, 214, 4098, 0.483108, 0, 0, 0, 1, 0, 0
210, 215, 4098, 0.432795, 0.2, 0.2, 0.4, 0, 0, 0.2
211, 216, 4098, 0.42647, 0, 0, 0.2, 0, 0.6, 0.2
212, 217, 4098, 0.470248, 0.6, 0, 0.2, 0, 0, 0.2
213, 218, 4098, 0.550864, 0, 0.8, 0, 0, 0, 0.2
214, 219, 4098, 0.590234, 0.2, 0.4, 0, 0.2, 0.2, 0
215, 220, 4098, 0.589329, 0, 0.6, 0, 0.2, 0, 0.2
216, 221, 4098, 0.518015, 0, 0.8, 0.2, 0, 0, 0
217, 222, 4098, 0.456837, 0, 0, 0.2, 0.4, 0.2, 0.2
218, 223, 4098, 0.438775, 0.2, 0, 0, 0.2, 0.6, 0
219, 224, 4098, 0.473674, 0.2, 0, 0, 0, 0.2, 0.6
220, 225, 4098, 0.463988, 0, 0.2, 0.2, 0, 0.2, 0.4
221, 226, 4098, 0.487859, 0.2, 0.2, 0, 0, 0.2, 0.4
222, 227, 4098, 0.414311, 0, 0, 0.2, 0.2, 0.6, 0
223, 228, 4098, 0.505872, 0.6, 0.2, 0, 0, 0, 0.2
224, 229, 4098, 0.451341, 0.2, 0, 0.6, 0, 0, 0.2
225, 230, 4098, 0.494919, 0, 0.6, 0, 0, 0.2, 0.2
226, 231, 4098, 0.441314, 0, 0, 0.6, 0, 0.2, 0.2
227, 232, 4098, 0.442608, 0, 0.4, 0.2, 0, 0.2, 0.2
228, 233, 4098, 0.487631, 0, 0.2, 0.2, 0.6, 0, 0
229, 234, 4098, 0.517054, 0.2, 0.2, 0, 0.2, 0.4, 0
230, 235, 4098, 0.479316, 0, 0.2, 0, 0, 0.2, 0.6
231, 236, 4098, 0.401201, 0.2, 0, 0.2, 0, 0.6, 0
232, 237, 4098, 0.449756, 0, 0, 0, 0, 0, 1
233, 238, 4098, 0.45689, 0, 0, 0.1, 0.7, 0.1, 0.1
234, 239, 4098, 0.449656, 0.1, 0, 0.9, 0, 0, 0
235, 240, 4098, 0.482811, 0.2, 0.3, 0.1, 0, 0.4, 0
236, 241, 4098, 0.504466, 0, 0.2, 0, 0.1, 0.3, 0.4
237, 242, 4098, 0.508198, 0, 0.6, 0.1, 0, 0.1, 0.2
238, 243, 4098, 0.545474, 0.7, 0.1, 0, 0, 0.2, 0
239, 244, 4098, 0.510441, 0.3, 0.3, 0, 0.2, 0.2, 0
240, 245, 4098, 0.435117, 0.5, 0, 0.2, 0, 0.3, 0
241, 246, 4098, 0.480339, 0.4, 0.1, 0.1, 0, 0, 0.4
242, 247, 4098, 0.46895, 0, 0, 0.2, 0.2, 0.1, 0.5
243, 248, 4098, 0.447495, 0.2, 0.1, 0.3, 0, 0, 0.4
244, 249, 4098, 0.453842, 0, 0, 0, 0.1, 0.6, 0.3
245, 250, 4098, 0.455885, 0.2, 0.3, 0.3, 0, 0, 0.2
246, 251, 4098, 0.5441, 0.1, 0.2, 0, 0.2, 0, 0.5
247, 252, 4098, 0.513406, 0.3, 0, 0, 0.3, 0, 0.4
248, 253, 4098, 0.445736, 0, 0, 0.5, 0.2, 0.2, 0.1
249, 254, 4098, 0.442513, 0.3, 0.2, 0.5, 0, 0, 0
250, 255, 4098, 0.45677, 0.4, 0, 0.1, 0, 0, 0.5
251, 256, 4098, 0.407815, 0, 0, 0.2, 0.1, 0.7, 0
252, 258, 4098, 0.542848, 0.8, 0.1, 0, 0, 0, 0.1
253, 259, 4098, 0.470953, 0, 0.1, 0.1, 0, 0, 0.8
254, 260, 4098, 0.449292, 0.2, 0, 0, 0.3, 0.4, 0.1
255, 261, 4098, 0.513072, 0.4, 0.4, 0, 0.2, 0, 0
256, 262, 4098, 0.429422, 0, 0.1, 0.1, 0.2, 0.6, 0
257, 263, 4098, 0.501744, 0, 0.5, 0, 0.4, 0, 0.1
258, 264, 4098, 0.455794, 0.1, 0, 0, 0.6, 0.3, 0
259, 265, 4098, 0.508156, 0.1, 0.5, 0, 0, 0.2, 0.2
260, 266, 4098, 0.4315, 0.1, 0, 0, 0.1, 0.6, 0.2
261, 267, 4098, 0.469895, 0, 0.1, 0.2, 0.6, 0, 0.1
262, 268, 4098, 0.529482, 0.1, 0.5, 0, 0.2, 0.2, 0
263, 269, 4098, 0.456, 0.1, 0, 0.3, 0.5, 0, 0.1
264, 270, 4098, 0.50938, 0, 0.2, 0, 0, 0.1, 0.7
265, 271, 4098, 0.547974, 0.7, 0, 0, 0, 0, 0.3
266, 272, 4098, 0.55601, 0.2, 0.4, 0, 0.3, 0.1, 0
267, 273, 4098, 0.51801, 0.7, 0, 0, 0.2, 0.1, 0
268, 274, 4098, 0.47305, 0.1, 0.6, 0.2, 0, 0, 0.1
269, 275, 4098, 0.438383, 0.2, 0, 0, 0.3, 0.5, 0
270, 276, 4098, 0.451562, 0, 0, 0.2, 0.2, 0, 0.6
271, 277, 4098, 0.425308, 0, 0.2, 0.2, 0.2, 0.4, 0
272, 278, 4098, 0.427056, 0, 0, 0.2, 0, 0.8, 0
273, 279, 4098, 0.406477, 0, 0.2, 0.2, 0, 0.4, 0.2
274, 280, 4098, 0.428345, 0.2, 0, 0.2, 0.4, 0.2, 0
275, 281, 4098, 0.464697, 0.2, 0, 0.4, 0.2, 0, 0.2
276, 282, 4098, 0.466091, 0.2, 0, 0, 0.2, 0.4, 0.2
277, 283, 4098, 0.498503, 0, 0.2, 0, 0.2, 0.4, 0.2
278, 284, 4098, 0.58006, 0, 0.8, 0, 0, 0.2, 0
279, 285, 4098, 0.589063, 0.2, 0.2, 0, 0.6, 0, 0
280, 286, 4098, 0.404698, 0.2, 0, 0.2, 0.2, 0.4, 0
281, 287, 4098, 0.449724, 0, 0, 0, 0.6, 0.2, 0.2
282, 288, 4098, 0.471458, 0.6, 0.2, 0.2, 0, 0, 0
283, 289, 4098, 0.458794, 0, 0, 0.2, 0.8, 0, 0
284, 290, 4098, 0.509903, 0.2, 0.6, 0, 0, 0, 0.2
285, 291, 4098, 0.522104, 0.2, 0.2, 0, 0, 0, 0.6
286, 292, 4098, 0.486104, 0, 0, 0, 0.2, 0, 0.8
287, 293, 4098, 0.490221, 0, 0.2, 0, 0.2, 0, 0.6
288, 294, 4098, 0.444916, 0, 0, 0.2, 0.6, 0.2, 0
289, 295, 4098, 0.470618, 0, 0.2, 0, 0, 0, 0.8
290, 296, 4098, 0.456754, 0, 0, 0.6, 0.2, 0, 0.2
291, 297, 4098, 0.520577, 0, 1, 0, 0, 0, 0
292, 298, 4098, 0.488125, 0.2, 0, 0.2, 0.4, 0, 0.2
293, 299, 4098, 0.521667, 0, 0.2, 0, 0.8, 0, 0
294, 300, 4098, 0.479952, 0.2, 0, 0, 0.6, 0.2, 0
295, 301, 4098, 0.417902, 0.2, 0.2, 0.4, 0, 0.2, 0
296, 302, 4098, 0.487858, 0, 0.3, 0, 0.3, 0.2, 0.2
297, 303, 4098, 0.479728, 0.5, 0, 0.1, 0.1, 0, 0.3
298, 304, 4098, 0.460547, 0.1, 0.4, 0.4, 0, 0.1, 0
299, 305, 4098, 0.503982, 0.1, 0.1, 0, 0.5, 0, 0.3
300, 306, 4098, 0.432772, 0.2, 0, 0.3, 0, 0.2, 0.3
301, 307, 4098, 0.442338, 0, 0.1, 0.7, 0, 0.2, 0
302, 308, 4098, 0.493857, 0.3, 0, 0.1, 0.1, 0, 0.5
303, 309, 4098, 0.468414, 0.3, 0, 0.1, 0.5, 0, 0.1
304, 310, 4098, 0.490537, 0.2, 0, 0.1, 0, 0, 0.7
305, 311, 4098, 0.466119, 0.1, 0, 0.1, 0, 0.1, 0.7
306, 312, 4098, 0.458025, 0, 0.1, 0.8, 0, 0, 0.1
307, 313, 4098, 0.46903, 0, 0, 0.1, 0.3, 0.2, 0.4
308, 314, 4098, 0.433792, 0, 0, 0.3, 0.3, 0.4, 0
309, 315, 4098, 0.47535, 0, 0, 0, 0.4, 0.4, 0.2
310, 316, 4098, 0.556048, 0.8, 0, 0, 0.1, 0, 0.1
311, 317, 4098, 0.513606, 0.7, 0.2, 0, 0, 0.1, 0
312, 318, 4098, 0.436616, 0.3, 0, 0, 0, 0.6, 0.1
313, 319, 4098, 0.465229, 0, 0.1, 0.6, 0.1, 0, 0.2
314, 320, 4098, 0.445062, 0.2, 0.1, 0.2, 0.5, 0, 0
315, 322, 4098, 0.474885, 0, 0.4, 0, 0, 0.5, 0.1
316, 323, 4098, 0.458831, 0.3, 0.2, 0.4, 0, 0, 0.1
317, 324, 4098, 0.655528, 0.5, 0.2, 0, 0.3, 0, 0
318, 325, 4098, 0.605915, 0.4, 0.4, 0, 0, 0.2, 0
319, 326, 4098, 0.489469, 0, 0.4, 0, 0.3, 0, 0.3
320, 327, 4098, 0.422145, 0.5, 0, 0.3, 0, 0.1, 0.1
321, 328, 4098, 0.493623, 0.4, 0.1, 0, 0.1, 0, 0.4
322, 329, 4098, 0.429198, 0.2, 0, 0, 0.1, 0.4, 0.3
323, 330, 4098, 0.467941, 0, 0, 0, 0.2, 0.1, 0.7
324, 331, 4098, 0.438628, 0.1, 0, 0, 0.1, 0.7, 0.1
325, 332, 4098, 0.504225, 0.4, 0.5, 0.1, 0, 0, 0
326, 333, 4098, 0.454251, 0, 0, 0.8, 0.1, 0.1, 0
327, 334, 4098, 0.469632, 0, 0.5, 0.2, 0.1, 0.2, 0
328, 335, 4098, 0.40492, 0, 0.1, 0.2, 0.1, 0.6, 0
329, 336, 4098, 0.40236, 0.2, 0, 0.1, 0, 0.5, 0.2
330, 337, 4098, 0.515267, 0, 0.2, 0, 0.5, 0.2, 0.1
331, 338, 4098, 0.489106, 0, 0.1, 0, 0.4, 0.5, 0
332, 339, 4098, 0.460111, 0, 0.2, 0.3, 0.4, 0.1, 0
333, 340, 4098, 0.394764, 0.2, 0, 0.2, 0, 0.4, 0.2
334, 341, 4098, 0.480642, 0, 0.4, 0, 0.2, 0.2, 0.2
335, 342, 4098, 0.414664, 0.2, 0, 0.6, 0, 0.2, 0
336, 343, 4098, 0.437142, 0, 0.2, 0.6, 0, 0.2, 0
337, 344, 4098, 0.455611, 0, 0, 0.8, 0.2, 0, 0
338, 345, 4098, 0.507989, 0.2, 0.2, 0, 0.2, 0, 0.4
339, 346, 4098, 0.477139, 0, 0.2, 0.2, 0, 0, 0.6
340, 347, 4098, 0.484966, 0.2, 0, 0.2, 0.2, 0, 0.4
341, 348, 4098, 0.46285, 0.2, 0.2, 0.6, 0, 0, 0
342, 349, 4098, 0.577136, 0, 0.8, 0, 0.2, 0, 0
343, 350, 4098, 0.477639, 0.2, 0, 0, 0, 0, 0.8
344, 351, 4098, 0.485045, 0, 0.2, 0.4, 0.2, 0, 0.2
345, 352, 4098, 0.532469, 0.2, 0.6, 0, 0.2, 0, 0
346, 353, 4098, 0.472044, 0, 0.2, 0, 0.2, 0.2, 0.4
347, 354, 4098, 0.466586, 0.6, 0, 0.2, 0.2, 0, 0
